Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
166,Tommaso Baldanzi,it ITA,"MF,FW",Empoli,it Serie A,20-317,2003,8.3,230,1420,641,20,16,6,19,13,260,40,Matches
167,Alejandro Balde,es ESP,DF,Barcelona,es La Liga,20-108,2003,15.3,567,3770,2213,73,36,20,32,16,664,141,Matches
168,George Baldock,gr GRE,DF,Sheffield Utd,eng Premier League,30-331,1993,9.3,225,910,418,8,3,3,8,9,244,24,Matches
169,Carlos Baleba,cm CMR,MF,Brighton,eng Premier League,20-031,2004,6.5,274,1386,637,4,5,0,7,10,318,2,Matches
170,Carlos Baleba,cm CMR,MF,Lille,fr Ligue 1,20-031,2004,0.7,43,203,69,1,1,0,0,2,42,1,Matches
171,Leonardo Balerdi,ar ARG,DF,Marseille,fr Ligue 1,25-008,1999,12.4,717,4019,2052,8,10,0,5,6,652,2,Matches
172,Iván Balliu,al ALB,DF,Rayo Vallecano,es La Liga,32-033,1992,18.1,397,1971,1000,27,15,3,16,4,461,52,Matches
173,Fodé Ballo-Touré,sn SEN,DF,Fulham,eng Premier League,27-031,1997,0.6,40,256,141,5,1,1,0,0,44,4,Matches
174,Folarin Balogun,us USA,FW,Monaco,fr Ligue 1,22-215,2001,10.5,301,1718,518,23,14,17,51,24,291,121,Matches
175,Jonathan Bamba,ci CIV,"MF,FW",Celta Vigo,es La Liga,27-314,1996,15.6,514,3388,2058,78,35,26,32,19,539,129,Matches
176,Muhamad Bamba,ci CIV,MF,Lorient,fr Ligue 1,22-055,2001,0.2,,,,,,,,,,,Matches
177,Samuel Bamba,de GER,FW,Dortmund,de Bundesliga,19-355,2004,0.5,15,146,103,5,3,1,5,0,22,7,Matches
178,Lameck Banda,zm ZAM,FW,Lecce,it Serie A,23-005,2001,11.9,337,2908,1476,60,27,29,49,22,330,118,Matches
179,Daniel Bandeira,pt POR,MF,Hellas Verona,it Serie A,23-298,2000,0.1,3,32,29,1,0,0,1,0,2,0,Matches
180,Mamady Bangré,bf BFA,"FW,MF",Toulouse,fr Ligue 1,22-233,2001,1.1,76,542,312,10,5,2,4,4,69,12,Matches
181,Mattia Bani,it ITA,DF,Genoa,it Serie A,30-055,1993,15.7,454,2024,899,4,2,0,6,2,490,4,Matches
182,Léo Baptistão,br BRA,FW,Almería,es La Liga,31-161,1992,12,229,1244,571,13,14,2,22,11,294,51,Matches
183,Shandon Baptiste,gd GRN,MF,Brentford,eng Premier League,25-301,1998,2.3,57,304,169,3,1,0,8,0,62,0,Matches
184,Antonín Barák,cz CZE,MF,Fiorentina,it Serie A,29-062,1994,2.6,104,573,212,6,11,0,6,6,124,21,Matches
185,Francisco Barbosa,es ESP,GK,Betis,es La Liga,24-272,1999,2.5,41,216,149,0,0,0,0,0,27,0,Matches
186,Bradley Barcola,fr FRA,FW,Lyon,fr Ligue 1,21-154,2002,3,103,688,303,11,6,8,7,2,99,31,Matches
187,Bradley Barcola,fr FRA,"FW,MF",Paris S-G,fr Ligue 1,21-154,2002,8.7,386,2738,1614,59,28,34,27,8,368,141,Matches
188,Melvin Bard,fr FRA,DF,Nice,fr Ligue 1,23-089,2000,17.7,900,5083,2345,36,47,3,21,10,789,48,Matches
189,Nicolò Barella,it ITA,MF,Inter,it Serie A,26-361,1997,17.1,813,3756,1825,41,38,4,19,14,992,79,Matches
190,Kike Barja,es ESP,"FW,MF",Osasuna,es La Liga,26-308,1997,2.9,94,649,324,16,8,5,14,5,111,35,Matches
191,Ross Barkley,eng ENG,MF,Luton Town,eng Premier League,30-060,1993,13.8,422,2741,1199,19,18,2,15,22,477,18,Matches
192,Aymen Barkok,ma MAR,"MF,FW",Mainz 05,de Bundesliga,25-258,1998,3.6,123,655,344,14,4,5,12,5,174,33,Matches
193,Harvey Barnes,eng ENG,FW,Newcastle Utd,eng Premier League,26-056,1997,2.1,63,450,322,15,2,8,2,4,67,16,Matches
194,Leandro Barreiro Martins,lu LUX,MF,Mainz 05,de Bundesliga,24-031,2000,15,277,1079,466,9,6,2,21,6,377,23,Matches
