Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,GCA,GCA90
246,Saïd Benrahma,dz ALG,"FW,MF",West Ham,eng Premier League,28-177,1995,6.9,26,3.77,1,0.15
247,Ramy Bensebaini,dz ALG,DF,Dortmund,de Bundesliga,28-293,1995,11.3,26,2.3,3,0.27
248,Nabil Bentaleb,dz ALG,MF,Lille,fr Ligue 1,29-071,1994,8.5,7,0.82,0,0
249,Rodrigo Bentancur,uy URU,MF,Tottenham,eng Premier League,26-223,1997,3.1,6,1.91,1,0.32
250,Daniel Bentley,eng ENG,GK,Wolves,eng Premier League,30-205,1993,2.8,0,0,0,0
251,Lucas Beraldo,br BRA,DF,Paris S-G,fr Ligue 1,20-071,2003,2,1,0.5,0,0
252,Domenico Berardi,it ITA,FW,Sassuolo,it Serie A,29-186,1994,15.2,62,4.06,5,0.33
253,Yuri Berchiche,es ESP,DF,Athletic Club,es La Liga,33-358,1990,13.4,22,1.65,3,0.22
254,Álex Berenguer,es ESP,FW,Athletic Club,es La Liga,28-214,1995,8.3,33,3.98,3,0.36
255,Bartosz Bereszyński,pl POL,DF,Empoli,it Serie A,31-206,1992,8,9,1.12,1,0.12
256,Jóhann Berg Guðmundsson,is ISL,MF,Burnley,eng Premier League,33-099,1990,9.8,36,3.66,3,0.3
257,Sander Berge,no NOR,MF,Burnley,eng Premier League,25-354,1998,17.4,27,1.55,2,0.12
258,Etrit Berisha,al ALB,GK,Empoli,it Serie A,34-330,1989,14,2,0.14,0,0
259,Mergim Berisha,de GER,FW,Hoffenheim,de Bundesliga,25-268,1998,1.6,4,2.48,0,0
260,Mergim Berisha,de GER,FW,Augsburg,de Bundesliga,25-268,1998,1.4,5,3.69,0,0
261,Isaac Bernal,es ESP,FW,Sevilla,es La Liga,23-261,2000,2.3,,,,
262,Bernardo,br BRA,DF,Bochum,de Bundesliga,28-265,1995,18,21,1.17,2,0.11
263,Victor Bernth Kristiansen,dk DEN,DF,Bologna,it Serie A,21-049,2002,11.9,23,1.94,3,0.25
264,Matúš Bero,sk SVK,"MF,FW",Bochum,de Bundesliga,28-150,1995,9.4,16,1.7,1,0.11
265,Luke Berry,eng ENG,MF,Luton Town,eng Premier League,31-206,1992,0.5,0,0,0,0
266,Jan-Niklas Beste,de GER,"FW,MF",Heidenheim,de Bundesliga,25-030,1999,16.7,75,4.49,13,0.78
267,Beto,gw GNB,FW,Everton,eng Premier League,26-003,1998,6.1,21,3.43,1,0.16
268,Beto,gw GNB,FW,Udinese,it Serie A,26-003,1998,0.8,6,7.3,0,0
269,Davide Bettella,it ITA,MF,Monza,it Serie A,23-302,2000,0,0,0,0,0
270,Sam Beukema,nl NED,DF,Bologna,it Serie A,25-078,1998,16.6,12,0.72,1,0.06
271,Jordan Beyer,de GER,DF,Burnley,eng Premier League,23-260,2000,13.7,10,0.73,1,0.07
272,Jaka Bijol,si SVN,DF,Udinese,it Serie A,24-363,1999,13,3,0.23,0,0
273,Philip Billing,dk DEN,MF,Bournemouth,eng Premier League,27-237,1996,13.1,36,2.76,4,0.31
274,Cristiano Biraghi,it ITA,DF,Fiorentina,it Serie A,31-155,1992,15.4,34,2.21,7,0.46
275,Davide Biraschi,it ITA,DF,Genoa,it Serie A,29-216,1994,1,1,1,1,1
276,Samuele Birindelli,it ITA,DF,Monza,it Serie A,24-199,1999,8.4,19,2.26,2,0.24
277,Tom Bischof,de GER,"MF,FW",Hoffenheim,de Bundesliga,18-220,2005,1.7,6,3.53,1,0.59
278,Yves Bissouma,ml MLI,MF,Tottenham,eng Premier League,27-157,1996,13.4,31,2.31,2,0.15
279,Leonardo Bittencourt,de GER,MF,Werder Bremen,de Bundesliga,30-046,1993,9.5,17,1.79,1,0.11
280,Marco Bizot,nl NED,GK,Brest,fr Ligue 1,32-330,1991,19,3,0.16,0,0
281,Antonio Blanco,es ESP,MF,Alavés,es La Liga,23-195,2000,14.8,30,2.02,0,0
282,Rubén Blanco,es ESP,GK,Marseille,fr Ligue 1,28-193,1995,0.3,0,0,0,0
283,Hendry Blank,de GER,DF,Dortmund,de Bundesliga,19-166,2004,0.5,0,0,0,0
284,Ludovic Blas,fr FRA,"FW,MF",Rennes,fr Ligue 1,26-034,1997,10.9,27,2.47,3,0.27
285,Janis Blaswich,de GER,GK,RB Leipzig,de Bundesliga,32-277,1991,19,3,0.16,0,0
286,Alexis Blin,fr FRA,"MF,DF",Lecce,it Serie A,27-140,1996,7.1,5,0.71,2,0.28
287,Daley Blind,nl NED,DF,Girona,es La Liga,33-331,1990,21,30,1.43,5,0.24
288,Myron Boadu,nl NED,FW,Monaco,fr Ligue 1,23-020,2001,0.9,1,1.06,0,0
289,Benicio Boaitey,eng ENG,"DF,FW",Brighton,eng Premier League,20-025,2004,0.2,0,0,0,0
290,Oscar Bobb,no NOR,"FW,MF",Manchester City,eng Premier League,20-206,2003,1.3,10,7.56,5,3.78
291,Jeremie Boga,ci CIV,FW,Nice,fr Ligue 1,27-031,1997,11.3,39,3.46,5,0.44
292,Jayden Bogle,eng ENG,DF,Sheffield Utd,eng Premier League,23-191,2000,15.5,14,0.9,0,0
293,Emil Bohinen,no NOR,FW,Genoa,it Serie A,24-328,1999,0,0,0,0,0
294,Emil Bohinen,no NOR,MF,Salernitana,it Serie A,24-328,1999,5.9,12,2.02,1,0.17
295,Adama Bojang,gm GAM,FW,Reims,fr Ligue 1,19-251,2004,0.2,0,0,0,0
296,Daniel Boloca,ro ROU,MF,Sassuolo,it Serie A,25-043,1998,16.5,43,2.6,4,0.24
297,Willy Boly,ci CIV,DF,Nott'ham Forest,eng Premier League,33-000,1991,11.1,9,0.81,0,0
298,Giacomo Bonaventura,it ITA,MF,Fiorentina,it Serie A,34-165,1989,17.1,52,3.04,4,0.23
299,Federico Bonazzoli,it ITA,"FW,MF",Hellas Verona,it Serie A,26-258,1997,6.8,20,2.93,2,0.29
300,Warren Bondo,fr FRA,MF,Monza,it Serie A,20-141,2003,4.6,9,1.98,2,0.44
301,Giovanni Bonfanti,it ITA,DF,Atalanta,it Serie A,21-017,2003,0.2,0,0,0,0
302,Victor Boniface,ng NGA,FW,Leverkusen,de Bundesliga,23-042,2000,14.2,51,3.59,12,0.85
303,Kevin Bonifazi,it ITA,DF,Bologna,it Serie A,27-260,1996,1,0,0,0,0
304,Kevin Bonifazi,it ITA,DF,Frosinone,it Serie A,27-260,1996,1,0,0,0,0
305,Leonardo Bonucci,it ITA,DF,Union Berlin,de Bundesliga,36-278,1987,5.1,4,0.78,0,0
306,Ângelo Borges,br BRA,"FW,MF",Strasbourg,fr Ligue 1,19-044,2004,10.8,46,4.28,6,0.56
307,Neto Borges,br BRA,DF,Clermont Foot,fr Ligue 1,27-143,1996,15,29,1.93,1,0.07
308,Yvandro Borges Sanches,lu LUX,"MF,FW",M'Gladbach,de Bundesliga,19-255,2004,0.2,1,5,1,5
309,Sebastiaan Bornauw,be BEL,DF,Wolfsburg,de Bundesliga,24-318,1999,7.2,3,0.41,0,0
310,Rafael Borré,co COL,FW,Werder Bremen,de Bundesliga,28-141,1995,10.4,20,1.92,2,0.19
311,Gennaro Borrelli,it ITA,FW,Frosinone,it Serie A,23-330,2000,0.3,0,0,0,0
312,Adri Bosch,es ESP,DF,Granada,es La Liga,22-239,2001,0.3,0,0,0,0
313,Erik Botheim,no NOR,"FW,MF",Salernitana,it Serie A,24-024,2000,3.5,1,0.29,0,0
314,Sven Botman,nl NED,DF,Newcastle Utd,eng Premier League,24-022,2000,9.5,8,0.84,1,0.11
315,Ayyoub Bouaddi,fr FRA,MF,Lille,fr Ligue 1,16-124,2007,0.9,2,2.34,0,0
316,Badredine Bouanani,dz ALG,FW,Nice,fr Ligue 1,19-057,2004,1.8,10,5.59,0,0
317,Hicham Boudaoui,dz ALG,MF,Nice,fr Ligue 1,24-133,1999,8.9,18,2.01,1,0.11
318,Yassine Bounou,ma MAR,GK,Sevilla,es La Liga,32-304,1991,1,0,0,0,0
319,Mehdi Bourabia,ma MAR,MF,Frosinone,it Serie A,32-180,1991,2.2,4,1.79,0,0
320,Benjamin Bourigeaud,fr FRA,"MF,DF",Rennes,fr Ligue 1,30-020,1994,15.3,69,4.51,6,0.39
321,Bilal Boutobba,fr FRA,"MF,FW",Clermont Foot,fr Ligue 1,25-158,1998,5,22,4.43,1,0.2
322,Hugo Boutsingkham,fr FRA,FW,Nantes,fr Ligue 1,21-014,2003,0,0,0,0,0
323,Edoardo Bove,it ITA,MF,Roma,it Serie A,21-263,2002,14.2,31,2.18,2,0.14
324,Jarrod Bowen,eng ENG,FW,West Ham,eng Premier League,27-045,1996,21,55,2.63,9,0.43
325,Lucas Boyé,ar ARG,FW,Granada,es La Liga,27-340,1996,15.5,48,3.11,7,0.45
326,Domagoj Bradarić,hr CRO,DF,Salernitana,it Serie A,24-055,1999,18.7,36,1.92,3,0.16
327,Conor Bradley,nir NIR,DF,Liverpool,eng Premier League,20-209,2003,1.7,6,3.62,2,1.21
328,Bilal Brahimi,dz ALG,FW,Nice,fr Ligue 1,23-326,2000,0.1,1,8.18,0,0
329,Bilal Brahimi,dz ALG,"FW,MF",Brest,fr Ligue 1,23-326,2000,2,8,3.93,0,0
330,Juan Brandáriz,es ESP,DF,Almería,es La Liga,24-338,1999,17.4,15,0.86,1,0.06
331,Julian Brandt,de GER,"MF,FW",Dortmund,de Bundesliga,27-277,1996,14.8,81,5.47,9,0.61
332,Jarrad Branthwaite,eng ENG,DF,Everton,eng Premier League,21-221,2002,19,14,0.74,1,0.05
333,Darko Brašanac,rs SRB,MF,Osasuna,es La Liga,31-356,1992,0.5,2,3.75,0,0
334,Lilian Brassier,fr FRA,DF,Brest,fr Ligue 1,24-093,1999,16.7,12,0.72,0,0
335,Claudio Bravo,cl CHI,GK,Betis,es La Liga,40-296,1983,7,2,0.29,0,0
336,Tim Breithaupt,de GER,MF,Augsburg,de Bundesliga,21-361,2002,2.9,3,1.05,1,0.35
337,Josip Brekalo,hr CRO,FW,Fiorentina,it Serie A,25-225,1998,7.2,19,2.62,3,0.41
338,Gleison Bremer,br BRA,DF,Juventus,it Serie A,26-322,1997,21.9,10,0.46,2,0.09
339,Brenner,br BRA,FW,Udinese,it Serie A,24-018,2000,0.1,0,0,0,0
340,Ben Brereton,cl CHI,MF,Sheffield Utd,eng Premier League,24-291,1999,1.2,5,4.05,2,1.62
341,Ben Brereton,cl CHI,"FW,MF",Villarreal,es La Liga,24-291,1999,3,4,1.33,0,0
342,Marco Brescianini,it ITA,MF,Frosinone,it Serie A,24-014,2000,12.4,21,1.7,3,0.24
343,Maximilian Breunig,de GER,FW,Freiburg,de Bundesliga,23-173,2000,0.1,0,0,0,0
344,Rhian Brewster,eng ENG,"FW,MF",Sheffield Utd,eng Premier League,23-308,2000,2.3,4,1.76,0,0
345,Armando Broja,al ALB,FW,Chelsea,eng Premier League,22-146,2001,5,8,1.59,1,0.2
346,Dylan Bronn,tn TUN,"DF,MF",Salernitana,it Serie A,28-229,1995,0.6,0,0,0,0
347,Andre Brooks,eng ENG,"MF,DF",Sheffield Utd,eng Premier League,20-167,2003,5.9,5,0.85,0,0
348,David Brooks,wls WAL,"FW,MF",Bournemouth,eng Premier League,26-210,1997,3.1,20,6.41,3,0.96
349,John Brooks,us USA,DF,Hoffenheim,de Bundesliga,31-006,1993,13,7,0.54,0,0
350,Moritz Broschinski,de GER,"FW,MF",Bochum,de Bundesliga,23-133,2000,4.6,5,1.1,1,0.22
351,Jacob Brown,sct SCO,"MF,FW",Luton Town,eng Premier League,25-299,1998,11.2,15,1.34,0,0
352,Josh Brownhill,eng ENG,MF,Burnley,eng Premier League,28-046,1995,18.7,47,2.52,3,0.16
353,Alexander Brunst,de GER,GK,Darmstadt 98,de Bundesliga,28-211,1995,1,1,1,0,0
354,Jacob Bruun Larsen,dk DEN,"MF,FW",Burnley,eng Premier League,25-137,1998,5.1,17,3.3,0,0
355,Ante Budimir,hr CRO,FW,Osasuna,es La Liga,32-196,1991,18.1,29,1.6,4,0.22
356,Hugo Bueno,es ESP,"DF,MF",Wolves,eng Premier League,21-138,2002,4.4,13,2.97,2,0.46
357,Santiago Bueno,uy URU,DF,Wolves,eng Premier League,25-086,1998,2.2,0,0,0,0
358,Marius Bülter,de GER,"FW,DF",Hoffenheim,de Bundesliga,30-311,1993,10.3,35,3.41,4,0.39
359,Facundo Buonanotte,ar ARG,"MF,FW",Brighton,eng Premier League,19-042,2004,6.8,23,3.38,1,0.15
360,Alessandro Buongiorno,it ITA,DF,Torino,it Serie A,24-242,1999,17.3,15,0.87,1,0.06
361,Jonathan Burkardt,de GER,"FW,MF",Mainz 05,de Bundesliga,23-207,2000,3.9,6,1.53,0,0
362,Oliver Burke,sct SCO,FW,Werder Bremen,de Bundesliga,26-302,1997,0.4,0,0,0,0
363,Reece Burke,eng ENG,DF,Luton Town,eng Premier League,27-154,1996,7.6,10,1.31,1,0.13
364,Dan Burn,eng ENG,DF,Newcastle Utd,eng Premier League,31-270,1992,15.9,14,0.88,2,0.13
365,Rareș-Cătălin Burnete,ro ROU,FW,Lecce,it Serie A,20-003,2004,0.1,0,0,0,0
366,Mason Burstow,eng ENG,FW,Chelsea,eng Premier League,20-183,2003,0.1,0,0,0,0
367,Marnon Busch,de GER,DF,Heidenheim,de Bundesliga,29-057,1994,4.5,8,1.76,1,0.22
368,Maxime Busi,be BEL,"FW,DF",Reims,fr Ligue 1,24-112,1999,1.3,5,3.78,0,0
369,Pablo Busto,es ESP,DF,Betis,es La Liga,18-141,2005,0.5,1,2.2,0,0
370,Aurélio Buta,pt POR,"DF,MF",Eint Frankfurt,de Bundesliga,26-358,1997,11.1,22,1.99,3,0.27
371,Marcin Bułka,pl POL,GK,Nice,fr Ligue 1,24-122,1999,19,2,0.11,0,0
372,Jamie Bynoe-Gittens,eng ENG,"FW,MF",Dortmund,de Bundesliga,19-179,2004,6.2,28,4.55,7,1.14
373,Juan Cabal,co COL,DF,Hellas Verona,it Serie A,23-026,2001,2.5,12,4.76,0,0
374,Rémy Cabella,fr FRA,"MF,FW",Lille,fr Ligue 1,33-332,1990,10.9,57,5.23,6,0.55
375,Jovane Cabral,cv CPV,"MF,FW",Salernitana,it Serie A,25-234,1998,7.5,25,3.31,0,0
376,Liberato Cacace,nz NZL,DF,Empoli,it Serie A,23-129,2000,13.5,22,1.63,1,0.07
377,Anthony Caci,fr FRA,DF,Mainz 05,de Bundesliga,26-217,1997,14.7,22,1.5,2,0.14
378,Moisés Caicedo,ec ECU,MF,Chelsea,eng Premier League,22-093,2001,16.9,28,1.66,4,0.24
379,Tom Cairney,sct SCO,MF,Fulham,eng Premier League,33-014,1991,11.1,40,3.59,9,0.81
380,Jens Cajuste,se SWE,MF,Napoli,it Serie A,24-177,1999,5.8,20,3.47,4,0.69
381,Davide Calabria,it ITA,DF,Milan,it Serie A,27-059,1996,16.3,22,1.35,5,0.31
382,Riccardo Calafiori,it ITA,DF,Bologna,it Serie A,21-260,2002,16.3,26,1.6,3,0.18
383,Luca Caldirola,it ITA,DF,Monza,it Serie A,33-002,1991,19.9,10,0.5,1,0.05
384,Duje Ćaleta-Car,hr CRO,DF,Lyon,fr Ligue 1,27-139,1996,8.1,4,0.49,0,0
385,Hakan Çalhanoğlu,tr TUR,MF,Inter,it Serie A,29-360,1994,18,69,3.83,8,0.44
386,José Callejón,es ESP,"MF,FW",Granada,es La Liga,36-357,1987,6.9,17,2.46,1,0.14
387,Dominic Calvert-Lewin,eng ENG,FW,Everton,eng Premier League,26-324,1997,13.5,31,2.29,3,0.22
388,Lamine Camara,sn SEN,MF,Metz,fr Ligue 1,20-033,2004,13.4,38,2.85,6,0.45
389,Mahdi Camara,fr FRA,MF,Brest,fr Ligue 1,25-218,1998,12.6,42,3.34,5,0.4
390,Mohamed Camara,ml MLI,MF,Monaco,fr Ligue 1,24-028,2000,8,32,3.98,3,0.37
391,Francesco Camarda,it ITA,FW,Milan,it Serie A,15-330,2008,0.2,0,0,0,0
392,Eduardo Camavinga,fr FRA,"MF,DF",Real Madrid,es La Liga,21-085,2002,9.8,35,3.56,4,0.41
393,Nicolò Cambiaghi,it ITA,"FW,MF",Empoli,it Serie A,23-037,2000,16.5,46,2.79,3,0.18
394,Andrea Cambiaso,it ITA,"DF,FW",Juventus,it Serie A,23-348,2000,13.2,31,2.36,4,0.3
395,Axel Camblan,fr FRA,FW,Brest,fr Ligue 1,20-157,2003,0.8,2,2.4,0,0
396,Sergio Camello,es ESP,FW,Rayo Vallecano,es La Liga,22-358,2001,10.4,23,2.21,4,0.38
397,Emre Can,de GER,"MF,DF",Dortmund,de Bundesliga,30-022,1994,12,29,2.42,3,0.25
398,Matteo Cancellieri,it ITA,"FW,MF",Empoli,it Serie A,21-356,2002,12.4,35,2.83,1,0.08
399,João Cancelo,pt POR,DF,Barcelona,es La Liga,29-252,1994,15.6,52,3.34,3,0.19
400,Fali Candé,gw GNB,DF,Metz,fr Ligue 1,26-010,1998,12.4,9,0.73,1,0.08
401,Antonio Candreva,it ITA,"MF,FW",Salernitana,it Serie A,36-340,1987,18.8,86,4.58,10,0.53
402,Thomas Cannon,ie IRL,FW,Everton,eng Premier League,21-037,2002,0,0,0,0,0
403,Sergi Canós,es ESP,"MF,FW",Valencia,es La Liga,27-001,1997,6.4,11,1.72,1,0.16
404,Luigi Canotto,it ITA,FW,Frosinone,it Serie A,29-260,1994,0.2,0,0,0,0
405,Gino Caoki,fr FRA,MF,Lorient,fr Ligue 1,19-201,2004,0.1,0,0,0,0
406,Étienne Capoue,fr FRA,MF,Villarreal,es La Liga,35-207,1988,13,27,2.08,3,0.23
407,Gianluca Caprari,it ITA,"MF,FW",Monza,it Serie A,30-188,1993,2.8,15,5.27,0,0
408,Elia Caprile,it ITA,GK,Empoli,it Serie A,22-162,2001,7,4,0.57,0,0
409,Francesco Caputo,it ITA,FW,Empoli,it Serie A,36-181,1987,12.2,21,1.72,0,0
410,Maxence Caqueret,fr FRA,MF,Lyon,fr Ligue 1,23-353,2000,18.6,61,3.28,1,0.05
411,Andrea Carboni,it ITA,DF,Monza,it Serie A,22-364,2001,8.7,10,1.15,1,0.12
412,Valentin Carboni,ar ARG,MF,Monza,it Serie A,18-335,2005,5.7,20,3.47,2,0.35
413,Isaac Carcelen,es ESP,DF,Cádiz,es La Liga,30-286,1993,18.4,24,1.31,0,0
414,Irvin Cardona,fr FRA,"MF,DF",Augsburg,de Bundesliga,26-179,1997,0.6,1,1.67,0,0
415,Marc Cardona,es ESP,FW,Las Palmas,es La Liga,28-210,1995,4.7,5,1.04,1,0.21
416,Sergi Cardona,es ESP,DF,Las Palmas,es La Liga,24-210,1999,19.3,42,2.18,4,0.21
417,Johnny Cardoso,us USA,MF,Betis,es La Liga,22-136,2001,1.8,0,0,0,0
418,Igor Carioca,br BRA,"DF,MF",Lorient,fr Ligue 1,27-166,1996,2.9,7,2.4,1,0.34
419,Carlos,br BRA,DF,Inter,it Serie A,25-027,1999,9.2,16,1.74,2,0.22
420,Diego Carlos,br BRA,DF,Aston Villa,eng Premier League,30-325,1993,10.9,5,0.46,2,0.18
421,Carmona,es ESP,"MF,FW",Getafe,es La Liga,22-005,2002,6.7,13,1.93,1,0.15
422,Marco Carnesecchi,it ITA,GK,Atalanta,it Serie A,23-217,2000,11,0,0,0,0
423,Yannick Carrasco,be BEL,DF,Atlético Madrid,es La Liga,30-152,1993,2.5,7,2.85,1,0.41
424,Álvaro Carreras,es ESP,"MF,FW",Granada,es La Liga,20-317,2003,5.3,17,3.21,1,0.19
425,Rasmus Carstensen,dk DEN,"DF,FW",Köln,de Bundesliga,23-115,2000,14,28,2,2,0.14
426,Antonin Cartillier,fr FRA,DF,Monaco,fr Ligue 1,19-225,2004,0.1,0,0,0,0
427,Dani Carvajal,es ESP,DF,Real Madrid,es La Liga,32-023,1992,15.1,33,2.19,6,0.4
428,Fabio Carvalho,pt POR,MF,RB Leipzig,de Bundesliga,21-157,2002,1.8,4,2.18,0,0
429,William Carvalho,pt POR,MF,Betis,es La Liga,31-302,1992,3.6,9,2.46,2,0.55
430,Cesare Casadei,it ITA,MF,Chelsea,eng Premier League,21-024,2003,0.1,0,0,0,0
431,Nicolò Casale,it ITA,DF,Lazio,it Serie A,25-354,1998,8,4,0.5,0,0
432,Casemiro,br BRA,MF,Manchester Utd,eng Premier League,31-345,1992,8,14,1.75,0,0
433,Matty Cash,pl POL,DF,Aston Villa,eng Premier League,26-180,1997,15.2,27,1.77,4,0.26
434,Josué Casimir,fr FRA,"DF,FW",Le Havre,fr Ligue 1,22-132,2001,13.6,32,2.35,5,0.37
435,Giuseppe Caso,it ITA,"FW,MF",Frosinone,it Serie A,25-056,1998,4.4,12,2.75,2,0.46
436,Cristian Cásseres Jr.,ve VEN,MF,Toulouse,fr Ligue 1,24-014,2000,13.2,24,1.82,3,0.23
437,Timothy Castagne,be BEL,DF,Fulham,eng Premier League,28-060,1995,15.5,34,2.19,0,0
438,Koen Casteels,be BEL,GK,Wolfsburg,de Bundesliga,31-223,1992,16,3,0.19,1,0.06
439,Valentín Castellanos,ar ARG,FW,Lazio,it Serie A,25-123,1998,9.4,28,2.99,7,0.75
440,Jean-Charles Castelletto,cm CMR,DF,Nantes,fr Ligue 1,29-008,1995,14.6,14,0.96,0,0
441,Samu Castillejo,es ESP,"FW,MF",Sassuolo,it Serie A,29-016,1995,5.5,23,4.2,1,0.18
442,Jonny Castro,es ESP,MF,Wolves,eng Premier League,29-337,1994,0.1,0,0,0,0
443,Danilo Cataldi,it ITA,MF,Lazio,it Serie A,29-181,1994,8.5,18,2.13,1,0.12
444,Catena,es ESP,DF,Osasuna,es La Liga,29-098,1994,16.9,4,0.24,1,0.06
445,Maximiliano Caufriez,be BEL,DF,Clermont Foot,fr Ligue 1,26-352,1997,11.4,10,0.88,2,0.18
446,Ivan Cavaleiro,pt POR,FW,Lille,fr Ligue 1,30-108,1993,8.1,16,1.96,1,0.12
447,Dani Ceballos,es ESP,MF,Real Madrid,es La Liga,27-180,1996,2.6,9,3.51,0,0
448,Emil Ceide,no NOR,"MF,FW",Sassuolo,it Serie A,22-153,2001,1.2,6,5.14,0,0
449,Zeki Çelik,tr TUR,DF,Roma,it Serie A,26-351,1997,2.6,5,1.91,0,0
450,Álex Centelles,es ESP,DF,Almería,es La Liga,26-087,1997,2.9,11,3.81,0,0
451,Fabien Centonze,fr FRA,DF,Nantes,fr Ligue 1,28-018,1996,1,0,0,0,0
452,Václav Černý,cz CZE,"FW,MF",Wolfsburg,de Bundesliga,26-109,1997,8.4,27,3.19,4,0.47
453,Michele Cerofolini,it ITA,GK,Frosinone,it Serie A,25-030,1999,1,0,0,0,0
454,Alberto Cerri,it ITA,FW,Empoli,it Serie A,27-293,1996,1.4,2,1.46,1,0.73
455,Franco Cervi,ar ARG,"MF,DF",Celta Vigo,es La Liga,29-253,1994,4.8,14,2.92,1,0.21
456,Julio César Enciso,py PAR,MF,Brighton,eng Premier League,20-011,2004,0.8,5,6.52,2,2.61
457,Julian Chabot,de GER,DF,Köln,de Bundesliga,25-356,1998,16.4,18,1.1,1,0.06
458,Fares Chaïbi,dz ALG,"FW,MF",Toulouse,fr Ligue 1,21-067,2002,0.6,3,4.66,1,1.55
459,Fares Chaïbi,dz ALG,"MF,FW",Eint Frankfurt,de Bundesliga,21-067,2002,10.9,36,3.29,7,0.64
460,Muhammed Cham,at AUT,"MF,FW",Clermont Foot,fr Ligue 1,23-130,2000,15.8,68,4.31,6,0.38
461,Brendan Chardonnet,fr FRA,DF,Brest,fr Ligue 1,29-043,1994,18,21,1.17,3,0.17
462,Charlys,br BRA,MF,Hellas Verona,it Serie A,19-349,2004,0,1,90,0,0
463,Pep Chavarría,es ESP,"DF,MF",Rayo Vallecano,es La Liga,25-299,1998,4.8,10,2.06,1,0.21
464,Jhoanner Chávez,ec ECU,DF,Lens,fr Ligue 1,21-284,2002,1.3,2,1.58,0,0
465,Walid Cheddira,ma MAR,FW,Frosinone,it Serie A,26-012,1998,11.1,15,1.35,4,0.36
466,Rayan Cherki,fr FRA,"MF,FW",Lyon,fr Ligue 1,20-170,2003,13.4,60,4.48,5,0.37
467,Youssef Chermiti,pt POR,FW,Everton,eng Premier League,19-255,2004,0.6,3,5.19,0,0
468,Lucas Chevalier,fr FRA,GK,Lille,fr Ligue 1,22-089,2001,19,2,0.11,0,0
469,Fabio Chiarodia,it ITA,"DF,MF",M'Gladbach,de Bundesliga,18-243,2005,0.7,0,0,0,0
470,Federico Chiesa,it ITA,FW,Juventus,it Serie A,26-101,1997,12.8,52,4.04,4,0.31
471,Ben Chilwell,eng ENG,DF,Chelsea,eng Premier League,27-044,1996,4.4,14,3.19,1,0.23
472,Tawanda Chirewa,eng ENG,FW,Wolves,eng Premier League,20-115,2003,0,0,0,0,0
473,Pedro Chirivella,es ESP,MF,Nantes,fr Ligue 1,26-256,1997,17.1,35,2.04,1,0.06
474,Tahith Chong,nl NED,MF,Luton Town,eng Premier League,24-061,1999,8.6,17,1.96,1,0.12
475,Joris Chotard,fr FRA,MF,Montpellier,fr Ligue 1,22-132,2001,17.4,25,1.44,3,0.17
476,Andreas Christensen,dk DEN,DF,Barcelona,es La Liga,27-299,1996,12.6,19,1.51,2,0.16
477,Jacob Christensen,dk DEN,"FW,MF",Köln,de Bundesliga,22-223,2001,0.2,0,0,0,0
478,Oliver Christensen,dk DEN,GK,Fiorentina,it Serie A,24-318,1999,2,0,0,0,0
479,Ryan Christie,sct SCO,MF,Bournemouth,eng Premier League,28-346,1995,18.5,57,3.09,3,0.16
480,Carney Chukwuemeka,eng ENG,MF,Chelsea,eng Premier League,20-106,2003,1.7,5,2.98,3,1.79
481,Samuel Chukwueze,ng NGA,FW,Milan,it Serie A,24-257,1999,6.1,14,2.32,1,0.17
482,Víctor Chust,es ESP,DF,Cádiz,es La Liga,23-335,2000,6,3,0.5,0,0
483,Pathé Ciss,sn SEN,MF,Rayo Vallecano,es La Liga,29-324,1994,11.2,19,1.69,2,0.18
484,Ibrahim Cissoko,nl NED,"FW,MF",Toulouse,fr Ligue 1,20-314,2003,2.3,13,5.6,0,0
485,Giorgio Cittadini,it ITA,DF,Monza,it Serie A,21-291,2002,0.2,0,0,0,0
486,Patrick Ciurria,it ITA,"DF,MF",Monza,it Serie A,28-359,1995,16.3,53,3.24,3,0.18
487,Bobby Clark,eng ENG,MF,Liverpool,eng Premier League,18-361,2005,0.2,0,0,0,0
488,Jordan Clark,eng ENG,MF,Luton Town,eng Premier League,30-134,1993,2.5,8,3.23,0,0
489,Alexis Claude-Maurice,fr FRA,MF,Nice,fr Ligue 1,25-242,1998,2.2,4,1.84,0,0
490,Jonathan Clauss,fr FRA,DF,Marseille,fr Ligue 1,31-131,1992,15.3,48,3.14,3,0.2
491,Silvi Clúa,es ESP,MF,Girona,es La Liga,19-005,2005,0,0,0,0,0
492,Nathaniel Clyne,eng ENG,DF,Crystal Palace,eng Premier League,32-304,1991,8,4,0.5,0,0
493,Marcus Coco,fr FRA,DF,Nantes,fr Ligue 1,27-224,1996,10,17,1.7,1,0.1
494,Saúl Coco,gq EQG,DF,Las Palmas,es La Liga,24-359,1999,13.4,4,0.3,0,0
495,Séamus Coleman,ie IRL,DF,Everton,eng Premier League,35-115,1988,2,2,0.98,0,0
496,Maxime Colin,fr FRA,DF,Metz,fr Ligue 1,32-080,1991,10.1,15,1.49,0,0
497,Nathan Collins,ie IRL,DF,Brentford,eng Premier League,22-279,2001,15.1,8,0.53,2,0.13
498,Lorenzo Colombo,it ITA,FW,Monza,it Serie A,21-332,2002,13.2,27,2.05,5,0.38
499,Andrea Colpani,it ITA,"MF,FW",Monza,it Serie A,24-268,1999,17.5,75,4.29,5,0.29
