Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,GCA,GCA90
211,Oliver Baumann,de GER,GK,Hoffenheim,de Bundesliga,33-246,1990,19,2,0.11,1,0.05
212,Christoph Baumgartner,at AUT,MF,RB Leipzig,de Bundesliga,24-186,1999,8.6,30,3.51,3,0.35
213,Bebé,cv CPV,"MF,FW",Rayo Vallecano,es La Liga,33-206,1990,1.6,3,1.91,0,0
214,Ihlas Bebou,tg TOG,"FW,DF",Hoffenheim,de Bundesliga,29-286,1994,8.7,23,2.65,3,0.35
215,Mohamed Bechikh,fr FRA,MF,Strasbourg,fr Ligue 1,18-205,2005,0,0,0,0,0
216,Adrian Beck,de GER,MF,Heidenheim,de Bundesliga,26-239,1997,8.6,28,3.26,3,0.35
217,Owen Beck,wls WAL,DF,Liverpool,eng Premier League,21-178,2002,0.1,0,0,0,0
218,Sheraldo Becker,sr SUR,FW,Real Sociedad,es La Liga,28-359,1995,0.3,0,0,0,0
219,Sheraldo Becker,sr SUR,"FW,MF",Union Berlin,de Bundesliga,28-359,1995,7.2,28,3.91,4,0.56
220,Chris Bedia,ci CIV,FW,Union Berlin,de Bundesliga,27-335,1996,0.1,0,0,0,0
221,Donny van de Beek,nl NED,DF,Manchester Utd,eng Premier League,26-291,1997,0,1,30,0,0
222,Donny van de Beek,nl NED,"MF,FW",Eint Frankfurt,de Bundesliga,26-291,1997,1.9,3,1.59,0,0
223,Yanis Begraoui,ma MAR,"FW,MF",Toulouse,fr Ligue 1,22-214,2001,3.3,7,2.11,1,0.3
224,Kevin Behrens,de GER,FW,Union Berlin,de Bundesliga,33-000,1991,14,35,2.5,2,0.14
225,Maximilian Beier,de GER,FW,Hoffenheim,de Bundesliga,21-109,2002,13.2,36,2.72,8,0.61
226,Jérémie Bela,ao ANG,MF,Clermont Foot,fr Ligue 1,30-301,1993,0.5,4,7.5,0,0
227,Reda Belahyane,fr FRA,MF,Nice,fr Ligue 1,19-247,2004,0.3,2,6.67,0,0
228,Amari'i Bell,jm JAM,DF,Luton Town,eng Premier League,29-274,1994,15.1,18,1.2,3,0.2
229,Stefan Bell,de GER,DF,Mainz 05,de Bundesliga,32-163,1991,7.4,5,0.68,1,0.14
230,Alaa Bellaarouch,ma MAR,GK,Strasbourg,fr Ligue 1,22-033,2002,1,0,0,0,0
231,Raoul Bellanova,it ITA,DF,Torino,it Serie A,23-262,2000,17.8,43,2.41,5,0.28
232,Jean-Ricner Bellegarde,fr FRA,"MF,FW",Wolves,eng Premier League,25-221,1998,6.7,21,3.13,2,0.3
233,Jean-Ricner Bellegarde,fr FRA,"MF,FW",Strasbourg,fr Ligue 1,25-221,1998,3,6,2.01,3,1
234,Héctor Bellerín,es ESP,DF,Betis,es La Liga,28-321,1995,12.4,19,1.53,2,0.16
235,Jude Bellingham,eng ENG,"MF,FW",Real Madrid,es La Liga,20-219,2003,18.2,68,3.74,8,0.44
236,Jeanöel Belocian,fr FRA,DF,Rennes,fr Ligue 1,18-351,2005,10.8,7,0.65,0,0
237,Andrea Belotti,it ITA,FW,Fiorentina,it Serie A,30-045,1993,0.5,1,2,0,0
238,Andrea Belotti,it ITA,FW,Roma,it Serie A,30-045,1993,7.5,23,3.05,6,0.8
239,Fran Beltrán,es ESP,MF,Celta Vigo,es La Liga,25-000,1999,12.1,16,1.32,1,0.08
240,Lucas Beltrán,ar ARG,"FW,MF",Fiorentina,it Serie A,22-311,2001,11,29,2.65,6,0.55
241,Eliesse Ben Seghir,fr FRA,"MF,DF",Monaco,fr Ligue 1,18-352,2005,0.4,2,4.62,0,0
242,Anis Ben Slimane,tn TUN,MF,Sheffield Utd,eng Premier League,22-324,2001,4.1,8,1.97,0,0
243,Wissam Ben Yedder,fr FRA,"FW,MF",Monaco,fr Ligue 1,33-175,1990,13.3,35,2.63,3,0.23
244,Carlos Benavídez,uy URU,MF,Alavés,es La Liga,25-310,1998,5.8,11,1.89,2,0.34
245,Ismaël Bennacer,dz ALG,MF,Milan,it Serie A,26-064,1997,2.2,8,3.62,1,0.45
