Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,shortCmp,shortAtt,shortCmp%,longCmp,longAtt,longCmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
197,Pablo Barrios,es ESP,MF,Atlético Madrid,es La Liga,20-233,2003,9,408,489,83.4,6478,1901,224,253,88.5,28,40,70,1,1.2,0.8,-0.2,7,45,11,0,55,Matches
198,Davide Bartesaghi,it ITA,"DF,MF",Milan,it Serie A,18-036,2005,0.8,26,32,81.3,461,191,9,10,90,3,5,60,0,0,0,0,0,1,0,0,3,Matches
199,Marc Bartra,es ESP,DF,Betis,es La Liga,33-019,1991,2.5,101,118,85.6,1910,620,39,42,92.9,13,21,61.9,0,0,0,0,0,5,0,0,5,Matches
200,Federico Baschirotto,it ITA,DF,Lecce,it Serie A,27-136,1996,21.6,921,1083,85,18082,5587,274,309,88.7,117,193,60.6,1,0.7,0.2,0.3,2,44,0,0,57,Matches
201,Steven Baseya,fr FRA,DF,Strasbourg,fr Ligue 1,19-020,2005,0.1,11,11,100,203,78,3,3,100,0,0,,0,0,0,0,0,0,0,0,0,Matches
202,Chris Basham,eng ENG,"DF,MF",Sheffield Utd,eng Premier League,35-198,1988,3.6,103,138,74.6,1506,484,62,70,88.6,6,14,42.9,0,0.3,0.1,-0.3,2,7,2,0,7,Matches
203,Toma Bašić,hr CRO,MF,Salernitana,it Serie A,27-070,1996,1.4,47,55,85.5,768,142,24,26,92.3,5,7,71.4,0,0.1,0.1,-0.1,2,3,2,2,3,Matches
204,Calvin Bassey,ng NGA,DF,Fulham,eng Premier League,24-034,1999,12.4,744,865,86,14195,4718,257,270,95.2,82,137,59.9,0,0,0.1,0,1,37,1,0,32,Matches
205,Alessandro Bastoni,it ITA,DF,Inter,it Serie A,24-296,1999,14.4,895,1030,86.9,17398,6056,340,359,94.7,118,175,67.4,0,1.8,2.4,-1.8,13,67,18,8,69,Matches
206,Simone Bastoni,it ITA,"DF,MF",Empoli,it Serie A,27-090,1996,3.9,146,213,68.5,2521,935,64,80,80,18,41,43.9,0,0.3,0.7,-0.3,7,10,4,2,12,Matches
207,Augusto Batalla,ar ARG,GK,Granada,es La Liga,27-279,1996,4,140,180,77.8,3522,2381,33,33,100,36,75,48,0,0,0,0,0,2,0,0,1,Matches
208,Daniel Batz,de GER,GK,Mainz 05,de Bundesliga,33-022,1991,4,104,153,68,2854,2094,18,19,94.7,33,79,41.8,0,0,0,0,0,5,0,0,0,Matches
209,Maximilian Bauer,de GER,DF,Augsburg,de Bundesliga,23-359,2000,5.5,243,286,85,4454,1497,84,93,90.3,14,30,46.7,0,0,0,0,0,10,0,0,11,Matches
210,Elias Baum,de GER,"MF,DF",Eint Frankfurt,de Bundesliga,18-100,2005,0.2,7,10,70,113,69,3,5,60,0,0,,0,0,0,0,0,0,0,0,0,Matches
211,Oliver Baumann,de GER,GK,Hoffenheim,de Bundesliga,33-246,1990,19,580,780,74.4,15919,11707,113,114,99.1,182,375,48.5,1,0.1,0.1,0.9,1,13,0,0,1,Matches
